31
点名   	经度   	纬度
BJFS  	115.8925   39.6086
BJSH   	116.2238   40.2505
CHUN 	125.4441   43.7903
DLHA   	 97.3778    37.3805
DXIN    	100.2006	40.9837
GUAN   	113.3397   23.1848
HLAR	119.7413	49.2705
IRKT	104.3162	52.2190
JIXN	117.5305	40.0760
KIT3	66.8854	39.1348
KMIN	102.7978	25.0295
LHAS	91.1040	29.6573
LUZH 	105.4136	28.8724
QION	109.8450	19.0294
SELE	 77.0169	43.1787
SHAO	121.2004	31.0996
SUIY	130.9081	44.4333
TAIN	117.1231	36.2145
URUM	87.6007	43.8079
USUD	138.3620	36.1331
WUHN	114.3573	30.5317
WUSH	79.2098	41.2023
XIAA	108.9856	34.1782
XIAG	100.2546	25.6081 
XIAM	118.0826	24.4499
XNIN	101.7744	36.6007
YANC	107.4372	37.7785
TASH	75.2336	37.7749
KUNM  	102.797	25.029  
TSKB	140.0875	36.1057	
WHJF	30.5155	114.4910
